contrast	short_label	chapter_direction	display_label	gene_id	baseMean	log2FoldChange	padj	best_description	annotation_confidence	log2FoldChange_fmt	padj_fmt	baseMean_fmt
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	ACVR1C / ENSSMAG00000011491	ENSSMAG00000011491	14.3741641584772	7.99866390294006	0.0144748459311332	Direct local gene symbol: ACVR1C	direct_local_symbol	8.00	1.45e-02	14.4
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	rab15 / ENSSMAG00000019773	ENSSMAG00000019773	96.135366119636	3.4883054591367	0.0144748459311332	Direct local gene symbol: rab15	direct_local_symbol	3.49	1.45e-02	96.1
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	plin2 / ENSSMAG00000011239	ENSSMAG00000011239	14.7661880276104	5.5188018295643	0.0254347087232491	Ensembl REST display name: plin2	medium_ensembl_rest_symbol	5.52	2.54e-02	14.8
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_negative	sdk2a / ENSSMAG00000000976	ENSSMAG00000000976	30.9204305384617	-4.68263689194285	0.0476384551324705	sidekick cell adhesion molecule 2a [Source:ZFIN;Acc:ZDB-GENE-091008-1]	medium_ensembl_rest_symbol	-4.68	4.76e-02	30.9
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_negative	htr2b / ENSSMAG00000001733	ENSSMAG00000001733	24.1501253804616	-3.88929282756193	0.0476384551324705	Direct local gene symbol: htr2b	direct_local_symbol	-3.89	4.76e-02	24.2
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	up	tnfaip6 / ENSSMAG00000012177	ENSSMAG00000012177	92.1836308852269	2.31596441312642	0.00940667579073323	Direct local gene symbol: tnfaip6	direct_local_symbol	2.32	9.41e-03	92.2
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000036716	ENSSMAG00000036716	5786.80231125875	-3.12118651913341	1.97554895619536e-06	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-3.12	1.98e-06	5786.8
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000015984	ENSSMAG00000015984	1254.0713994376	-3.98624650807196	1.75984342181419e-05	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-3.99	1.76e-05	1254.1
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000036554	ENSSMAG00000036554	2206.26128794792	-4.49561978261023	0.000295657466128707	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-4.50	2.96e-04	2206.3
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000031332	ENSSMAG00000031332	408.471077597456	-4.4100567737171	0.000295657466128707	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-4.41	2.96e-04	408.5
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000029313	ENSSMAG00000029313	126.038132622321	-3.4913989624109	0.000295657466128707	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-3.49	2.96e-04	126.0
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000014583	ENSSMAG00000014583	868.850932697924	-3.67279624237112	0.00202108754987845	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-3.67	2.02e-03	868.9
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	vcla / ENSSMAG00000005062	ENSSMAG00000005062	160.799377666029	4.08282583284234	9.39009214736394e-06	Direct local gene symbol: vcla	direct_local_symbol	4.08	9.39e-06	160.8
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	usp13 / ENSSMAG00000003050	ENSSMAG00000003050	111.168384192624	3.08578574098775	1.22633805833035e-05	Direct local gene symbol: usp13	direct_local_symbol	3.09	1.23e-05	111.2
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	ENSSMAG00000000087	ENSSMAG00000000087	295.695681086008	3.00684480514415	1.22633805833035e-05	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	3.01	1.23e-05	295.7
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	ca2 / ENSSMAG00000005625	ENSSMAG00000005625	137.733906665507	3.61710876827976	3.06556731457172e-05	Direct local gene symbol: ca2	direct_local_symbol	3.62	3.07e-05	137.7
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	smyd2b / ENSSMAG00000013183	ENSSMAG00000013183	130.954382924964	4.33793624662801	9.97770235406294e-05	Ensembl REST display name: smyd2b	medium_ensembl_rest_symbol	4.34	9.98e-05	131.0
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	frmd5a / ENSSMAG00000001045	ENSSMAG00000001045	61.6930196350206	4.18778235540885	0.000147775156295274	Ensembl REST display name: frmd5a	medium_ensembl_rest_symbol	4.19	1.48e-04	61.7
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000002702	ENSSMAG00000002702	309.316767089106	-4.34814028732271	2.47966824090507e-17	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-4.35	2.48e-17	309.3
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000035843	ENSSMAG00000035843	46.4131469077158	-8.47398867056318	3.65706203451214e-07	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-8.47	3.66e-07	46.4
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000031332	ENSSMAG00000031332	227.602597053638	-4.99483279654906	3.40233325867965e-05	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-4.99	3.40e-05	227.6
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	trim25 / ENSSMAG00000012664	ENSSMAG00000012664	74.4613974592074	-3.65191491155952	0.00170230019930886	Direct local gene symbol: trim25	direct_local_symbol	-3.65	1.70e-03	74.5
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000022757	ENSSMAG00000022757	4689.93889757314	-4.47880653952897	0.00199366999634346	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-4.48	1.99e-03	4689.9
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000029313	ENSSMAG00000029313	69.9620589098915	-4.25712510192956	0.00317722010403978	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	-4.26	3.18e-03	70.0
