source	destination	artifact_type	description	status	action	exported_at	analysis_root	quarto_dir
results/04_differential_expression/contrasts/P_OL_vs_P_BL/figures/heatmap_P_OL_vs_P_BL.png	figures/05_de/contrasts/P_OL_vs_P_BL/heatmap_P_OL_vs_P_BL.png	figure	heatmap figure P_OL_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_OD/tables/deg_P_BD_vs_P_OD_significant_annotated.tsv	tables/05_de/by_contrast/P_BD_vs_P_OD_significant_annotated.tsv	table	Significant annotated DEG table P_BD_vs_P_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_OD/figures/volcano_P_BD_vs_P_OD.png	figures/05_de/contrasts/P_BD_vs_P_OD/volcano_P_BD_vs_P_OD.png	figure	volcano figure P_BD_vs_P_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_OD/figures/ma_P_BD_vs_P_OD.png	figures/05_de/contrasts/P_BD_vs_P_OD/ma_P_BD_vs_P_OD.png	figure	ma figure P_BD_vs_P_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_OD/figures/heatmap_P_BD_vs_P_OD.png	figures/05_de/contrasts/P_BD_vs_P_OD/heatmap_P_BD_vs_P_OD.png	figure	heatmap figure P_BD_vs_P_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_surface_x_pigmentation/tables/deg_P_surface_x_pigmentation_significant_annotated.tsv	tables/05_de/by_contrast/P_surface_x_pigmentation_significant_annotated.tsv	table	Significant annotated DEG table P_surface_x_pigmentation	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_surface_x_pigmentation/figures/volcano_P_surface_x_pigmentation.png	figures/05_de/contrasts/P_surface_x_pigmentation/volcano_P_surface_x_pigmentation.png	figure	volcano figure P_surface_x_pigmentation	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_surface_x_pigmentation/figures/ma_P_surface_x_pigmentation.png	figures/05_de/contrasts/P_surface_x_pigmentation/ma_P_surface_x_pigmentation.png	figure	ma figure P_surface_x_pigmentation	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_surface_x_pigmentation/figures/heatmap_P_surface_x_pigmentation.png	figures/05_de/contrasts/P_surface_x_pigmentation/heatmap_P_surface_x_pigmentation.png	figure	heatmap figure P_surface_x_pigmentation	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OL_vs_N_OD/tables/deg_P_OL_vs_N_OD_significant_annotated.tsv	tables/05_de/by_contrast/P_OL_vs_N_OD_significant_annotated.tsv	table	Significant annotated DEG table P_OL_vs_N_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
