method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0061045	BP: negative regulation of wound healing	0.09236234458259325	0.3431773623353968	0.28693176509206075	12	-1.3896148524311562
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0071456	BP: cellular response to hypoxia	0.09259259259259259	0.34327009936766034	0.2870093028415664	61	1.272175564692518
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0080182	BP: histone H3-K4 trimethylation	0.09310344827586207	0.34348844994978245	0.28719186650925943	19	-1.3989241724598342
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0030878	BP: thyroid gland development	0.09302325581395349	0.34348844994978245	0.28719186650925943	28	1.3836973264397137
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0042102	BP: positive regulation of T cell proliferation	0.09281961471103327	0.34348844994978245	0.28719186650925943	21	-1.3587877946944371
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0002116	CC: semaphorin receptor complex	0.04050618044659054	0.3436041513745266	0.31610993814943616	22	1.4580064504495436
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0005158	MF: insulin receptor binding	0.04559748427672956	0.3468985078308052	0.3152767230692343	29	-1.4754511009159028
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0015293	MF: symporter activity	0.045317220543806644	0.3468985078308052	0.3152767230692343	47	-1.4273917249448829
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0017196	BP: N-terminal peptidyl-methionine acetylation	0.0945945945945946	0.34786399302528337	0.2908502730234479	11	1.4316237216555963
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0006606	BP: protein import into nucleus	0.0945945945945946	0.34786399302528337	0.2908502730234479	91	1.2307105772537474
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0048103	BP: somatic stem cell division	0.09490740740740741	0.34789210432297246	0.2908737769754863	16	1.422518163283354
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0046827	BP: positive regulation of protein export from nucleus	0.09490740740740741	0.34789210432297246	0.2908737769754863	16	1.4220131269221465
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0035278	BP: miRNA mediated inhibition of translation	0.09523809523809523	0.3485439119468012	0.29141875555662833	14	-1.3857425133939285
GSEA	P_OL_vs_N_OD	NES_negative	CC	GO:0030660	CC: Golgi-associated vesicle membrane	0.04217973551400858	0.3517360995405462	0.32359119127606945	12	-1.5028972699190184
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0060022	BP: hard palate development	0.0965391621129326	0.35217486338797815	0.294454606461509	10	-1.3931139984664642
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0006334	BP: nucleosome assembly	0.09641873278236915	0.35217486338797815	0.294454606461509	43	1.3146061396341504
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0070064	MF: proline-rich region binding	0.04794001712799623	0.3526738372973792	0.32052559819485094	17	-1.54617205684034
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0017108	MF: 5'-flap endonuclease activity	0.05081638988874109	0.3526738372973792	0.32052559819485094	10	1.5312072925685585
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0030619	MF: U1 snRNA binding	0.051517294575247806	0.3526738372973792	0.32052559819485094	10	1.5271928233638514
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0042043	MF: neurexin family protein binding	0.048903878583473864	0.3526738372973792	0.32052559819485094	13	-1.5184231119113327
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0042165	MF: neurotransmitter binding	0.049019607843137254	0.3526738372973792	0.32052559819485094	21	-1.504449990968893
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0005078	MF: MAP-kinase scaffold activity	0.050590219224283306	0.3526738372973792	0.32052559819485094	13	-1.5009914527683046
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0036312	MF: phosphatidylinositol 3-kinase regulatory subunit binding	0.050590219224283306	0.3526738372973792	0.32052559819485094	13	-1.5002552092276764
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004703	MF: G protein-coupled receptor kinase activity	0.0506108202443281	0.3526738372973792	0.32052559819485094	10	-1.5000510246099938
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0017017	MF: MAP kinase tyrosine/serine/threonine phosphatase activity	0.05226480836236934	0.3526738372973792	0.32052559819485094	11	-1.486134107681897
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0017124	MF: SH3 domain binding	0.05150214592274678	0.3526738372973792	0.32052559819485094	81	-1.370220224268665
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0030165	MF: PDZ domain binding	0.04827672127572986	0.3526738372973792	0.32052559819485094	55	1.3240052965442908
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0019900	MF: kinase binding	0.05144784727158821	0.3526738372973792	0.32052559819485094	75	1.3234646280205977
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0000977	MF: RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.0520209798097859	0.3526738372973792	0.32052559819485094	264	1.1798671905337996
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001702	BP: gastrulation with mouth forming second	0.0979381443298969	0.35670761832614206	0.2982444583511742	37	1.3295946946306274
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:1902808	BP: positive regulation of cell cycle G1/S phase transition	0.09824561403508772	0.3572567783094099	0.29870361288935426	16	-1.3788572617143264
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0060117	BP: auditory receptor cell development	0.09933774834437085	0.35739282589676286	0.29881736274193793	10	1.4430987671670112
